"","sequence_size","db_size","cores","time"
"1",5000,50000,1,5.1677098274231
"2",5000,50000,2,5.36608910560608
"3",5000,50000,4,4.50178718566895
"4",5000,50000,8,7.0184919834137
"5",10000,50000,1,5.98282504081726
"6",10000,50000,2,5.44849896430969
"7",10000,50000,4,5.71278715133667
"8",10000,50000,8,6.63100409507751
"9",20000,50000,1,10.721107006073
"10",20000,50000,2,10.0182440280914
"11",20000,50000,4,7.31626892089844
"12",20000,50000,8,8.88388705253601
"13",50000,50000,1,24.5058920383453
"14",50000,50000,2,18.6847620010376
"15",50000,50000,4,14.7450969219208
"16",50000,50000,8,14.8789501190186
"17",100000,50000,1,48.3616561889648
"18",100000,50000,2,43.5452167987823
"19",100000,50000,4,30.7427079677582
"20",100000,50000,8,29.2262258529663
"21",200000,50000,1,96.522392988205
"22",200000,50000,2,82.9940419197083
"23",200000,50000,4,63.8254270553589
"24",200000,50000,8,58.3311388492584
"25",5000,100000,1,5.61209201812744
"26",5000,100000,2,5.37897205352783
"27",5000,100000,4,6.08509087562561
"28",5000,100000,8,7.33295798301697
"29",10000,100000,1,9.15359616279602
"30",10000,100000,2,7.6851589679718
"31",10000,100000,4,8.83218383789062
"32",10000,100000,8,9.80339002609253
"33",20000,100000,1,15.9300849437714
"34",20000,100000,2,12.118194103241
"35",20000,100000,4,13.1924240589142
"36",20000,100000,8,13.5487568378448
"37",50000,100000,1,36.2153830528259
"38",50000,100000,2,28.8727679252625
"39",50000,100000,4,21.455002784729
"40",50000,100000,8,22.2007629871368
"41",100000,100000,1,72.238174200058
"42",100000,100000,2,65.2116849422455
"43",100000,100000,4,45.155200958252
"44",100000,100000,8,44.4344589710236
"45",200000,100000,1,145.279381036758
"46",200000,100000,2,123.528263092041
"47",200000,100000,4,89.4021239280701
"48",200000,100000,8,83.1085860729218
"49",5000,200000,1,7.82108616828918
"50",5000,200000,2,6.86169505119324
"51",5000,200000,4,7.80974292755127
"52",5000,200000,8,9.81757712364197
"53",10000,200000,1,14.1010921001434
"54",10000,200000,2,14.7079811096191
"55",10000,200000,4,9.19566702842712
"56",10000,200000,8,12.3455209732056
"57",20000,200000,1,24.3797478675842
"58",20000,200000,2,17.9861059188843
"59",20000,200000,4,15.1124877929688
"60",20000,200000,8,16.4220488071442
"61",50000,200000,1,57.156681060791
"62",50000,200000,2,41.1541378498077
"63",50000,200000,4,30.0544009208679
"64",50000,200000,8,30.5979380607605
"65",100000,200000,1,118.561788082123
"66",100000,200000,2,109.781349897385
"67",100000,200000,4,65.0236999988556
"68",100000,200000,8,59.0207390785217
"69",200000,200000,1,229.443683862686
"70",200000,200000,2,171.646352052689
"71",200000,200000,4,120.460928201675
"72",200000,200000,8,107.438852071762
"73",5000,500000,1,15.3853960037231
"74",5000,500000,2,11.4717869758606
"75",5000,500000,4,11.3543190956116
"76",5000,500000,8,15.9977819919586
"77",10000,500000,1,26.4173219203949
"78",10000,500000,2,20.3948059082031
"79",10000,500000,4,16.6564900875092
"80",10000,500000,8,19.6376378536224
"81",20000,500000,1,50.4914650917053
"82",20000,500000,2,38.3462538719177
"83",20000,500000,4,26.2812690734863
"84",20000,500000,8,25.088723897934
"85",50000,500000,1,121.969423055649
"86",50000,500000,2,81.2814111709595
"87",50000,500000,4,57.1177101135254
"88",50000,500000,8,54.3489601612091
"89",100000,500000,1,243.705436944962
"90",100000,500000,2,189.043955087662
"91",100000,500000,4,118.913139820099
"92",100000,500000,8,103.232766151428
"93",200000,500000,1,492.692544937134
"94",200000,500000,2,348.228875875473
"95",200000,500000,4,251.069998025894
"96",200000,500000,8,226.281466007233
